platform,rank,cover_img,title,artist,playtime
지니,62,https://cdn.chartin.me/image/album/genie/83815849.jpg?v=1709284116313&size=80,사랑..그게 뭔데,지아,3:46
지니,63,https://cdn.chartin.me/image/album/genie/15027331.jpg?v=1709284102591&size=80,희재,성시경,4:42
지니,64,https://cdn.chartin.me/image/album/genie/82130513.jpg?v=1709284108014&size=80,Stay,"The Kid LAROI, The Kid LAROI & Justin Bieber, Justin Bieber",2:22
지니,65,https://cdn.chartin.me/image/album/genie/84387353.jpg?v=1709284119169&size=80,Discord,QWER,2:48
지니,66,https://cdn.chartin.me/image/album/genie/84729887.jpg?v=1709284122011&size=80,관객이 될게 (I stan U),아이유 (IU),3:13
지니,67,https://cdn.chartin.me/image/album/genie/81044453.jpg?v=1709284104353&size=80,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,3:31
지니,68,https://cdn.chartin.me/image/album/genie/83325577.jpg?v=1709284113866&size=80,OMG,NewJeans,3:32
지니,69,https://cdn.chartin.me/image/album/genie/84127432.jpg?v=1709284117440&size=80,Fast Forward,전소미,2:41
지니,70,https://cdn.chartin.me/image/album/genie/84297639.jpg?v=1709284118639&size=80,Either Way,IVE (아이브),2:47
지니,71,https://cdn.chartin.me/image/album/genie/82484273.jpg?v=1709284109631&size=80,That's Hilarious,Charlie Puth,2:27
지니,72,https://cdn.chartin.me/image/album/genie/83519066.jpg?v=1709284114502&size=80,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),3:25
지니,73,https://cdn.chartin.me/image/album/genie/81031556.jpg?v=1709284104277&size=80,2002,Anne-Marie,3:07
지니,74,https://cdn.chartin.me/image/album/genie/83762577.jpg?v=1709284115568&size=80,손오공,세븐틴 (SEVENTEEN),3:20
지니,75,https://cdn.chartin.me/image/album/genie/83779626.jpg?v=1709284115870&size=80,UNFORGIVEN (Feat. Nile Rodgers),LE SSERAFIM (르세라핌),3:02
지니,76,https://cdn.chartin.me/image/album/genie/83073238.jpg?v=1709284113335&size=80,When I Get Old,"Christopher, Christopher & 청하, 청하",3:05
지니,77,https://cdn.chartin.me/image/album/genie/82983095.jpg?v=1709284112810&size=80,Monologue,테이 (Tei),4:22
지니,78,https://cdn.chartin.me/image/album/genie/84297639.jpg?v=1709284118639&size=80,Off The Record,IVE (아이브),3:09
지니,79,https://cdn.chartin.me/image/album/genie/80384393.jpg?v=1709284103085&size=80,첫 눈,EXO,3:28
지니,80,https://cdn.chartin.me/image/album/genie/82638202.jpg?v=1709284110733&size=80,The Drum,Alan Walker,3:09
지니,81,https://cdn.chartin.me/image/album/genie/84391893.jpg?v=1709284119263&size=80,잠시라도 우리,"성시경, 성시경 & 나얼, 나얼",4:53
지니,82,https://cdn.chartin.me/image/album/genie/84729887.jpg?v=1709284122011&size=80,Shh.. (Feat. 혜인 (HYEIN) & 조원선 & Special Narr. 패티김),아이유 (IU),3:47
지니,83,https://cdn.chartin.me/image/album/genie/82586132.jpg?v=1709284109955&size=80,TOMBOY,(여자)아이들,2:54
지니,84,https://cdn.chartin.me/image/album/genie/81048807.jpg?v=1709284104470&size=80,어른,Sondia,4:19
지니,85,https://cdn.chartin.me/image/album/genie/83687323.jpg?v=1709284115276&size=80,꽃,지수 (JISOO),2:53
지니,86,https://cdn.chartin.me/image/album/genie/81955089.jpg?v=1709284106962&size=80,Off My Face,Justin Bieber,2:37
지니,87,https://cdn.chartin.me/image/album/genie/83902576.jpg?v=1709284116791&size=80,나에게 그대만이,탑현,3:11
지니,88,https://cdn.chartin.me/image/album/genie/82814458.jpg?v=1709284111879&size=80,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),3:43
지니,89,https://cdn.chartin.me/image/album/genie/84697055.jpg?v=1709284121330&size=80,기억해줘요 내 모든 날과 그때를,화곡동 청개구리,3:36
지니,90,https://cdn.chartin.me/image/album/genie/83082184.jpg?v=1709284113412&size=80,ANTIFRAGILE,LE SSERAFIM (르세라핌),3:04
지니,91,https://cdn.chartin.me/image/album/genie/82798875.jpg?v=1709284111776&size=80,그라데이션,10CM,3:21
지니,92,https://cdn.chartin.me/image/album/genie/84763619.jpg?v=1709284122465&size=80,하루,에일리 (Ailee),4:56
지니,93,https://cdn.chartin.me/image/album/genie/84709055.jpg?v=1709284121507&size=80,Yes or No (Feat. 허윤진 of LE SSERAFIM & Crush),그루비룸 (GroovyRoom),2:59
지니,94,https://cdn.chartin.me/image/album/genie/82651870.jpg?v=1709284110937&size=80,나의 X에게,경서,3:08
지니,95,https://cdn.chartin.me/image/album/genie/83066601.jpg?v=1709284113107&size=80,Underwater,권은비,2:51
